"Request a withdrawal","Me rétracter"
"Withdrawal request","Demande de rétractation"
"Withdrawal request - Order %1","Demande de rétractation - Commande %1"
"Order no. %1 of %2","Commande n°%1 du %2"
"No product of this order is eligible for withdrawal.","Aucun produit de cette commande n'est éligible à la rétractation."
"Back to order","Retour à la commande"
"Quantity","Quantité"
"Qty: 1","Qté : 1"
"Reason","Motif"
"Select a reason","Sélectionnez un motif"
"Submit withdrawal request","Envoyer la demande de rétractation"
"Cancel","Annuler"
"Please select at least one product.","Veuillez sélectionner au moins un produit."
"Please select a reason for each selected product.","Veuillez sélectionner un motif pour chaque produit sélectionné."
"Please select at least one product to withdraw.","Veuillez sélectionner au moins un produit à rétracter."
"This order is not eligible for withdrawal.","Cette commande n'est pas éligible à la rétractation."
"Your withdrawal request has been submitted. Our customer service will contact you shortly.","Votre demande de rétractation a été envoyée. Notre service client vous recontactera prochainement."
"We could not register your withdrawal request. Please try again.","Nous n'avons pas pu enregistrer votre demande de rétractation. Veuillez réessayer."
"This withdrawal request no longer exists.","Cette demande de rétractation n'existe plus."
"Order Withdrawals","Demandes de rétractation"
"Withdrawal request #%1","Demande de rétractation n°%1"
"Request details","Détails de la demande"
"Order","Commande"
"Customer ID","ID client"
"Created At","Créée le"
"Products","Produits"
"Product","Produit"
"SKU","SKU"
"Qty","Qté"
"Back","Retour"
"View","Voir"
"ID","ID"
"Customer","Client"
"Order Withdrawal","Rétractation de commande"
"General","Général"
"Enable Withdrawal","Activer la rétractation"
"Withdrawal Window (days)","Délai de rétractation (jours)"
"Number of calendar days from the order creation date during which the withdrawal button is shown.","Nombre de jours calendaires à compter de la date de création de la commande pendant lesquels le bouton de rétractation est affiché."
"Eligible Order Statuses","Statuts de commande éligibles"
"The button is only displayed when the order status is one of the selected ones.","Le bouton n'est affiché que lorsque le statut de la commande fait partie des statuts sélectionnés."
"Withdrawal Reasons","Motifs de rétractation"
"One reason per line. Displayed as a dropdown on the withdrawal form.","Un motif par ligne. Affiché sous forme de liste déroulante sur le formulaire de rétractation."
"Email","E-mail"
"Send Withdrawal Request To","Envoyer la demande de rétractation à"
"Customer service address that receives the withdrawal request notification.","Adresse du service client qui reçoit la notification de demande de rétractation."
"Email Sender","Expéditeur de l'e-mail"
"Customer Service Email Template","Modèle d'e-mail service client"
"Customer Confirmation Email Template","Modèle d'e-mail de confirmation client"
"Confirmation of your withdrawal request - Order %increment_id","Confirmation de votre demande de rétractation – Commande n°%increment_id"
"We confirm that we have received your withdrawal request for the following order:","Nous avons bien reçu votre demande de rétractation concernant la commande suivante: "
"Order number: %increment_id","Numéro de commande : %increment_id"
"Your request has been registered and is being processed.","Votre demande a bien été enregistrée et est en cours de traitement."
"Our customer service will get back to you within 48 working hours to inform you of the next steps.","Notre service client reviendra vers vous dans un délai de 48 heures ouvrées afin de vous communiquer les prochaines étapes à suivre."
"Thank you for your trust. We remain at your disposal for any questions.","Nous vous remercions de votre confiance et restons à votre disposition pour toute question."
"Best regards,","Cordialement,"
"New withdrawal request for order %increment_id","Nouvelle demande de rétractation pour la commande %increment_id"
"A new withdrawal request has been submitted.","Une nouvelle demande de rétractation a été soumise."
"Order: %increment_id","Commande : %increment_id"
"Customer: %name","Client : %name"
"Our customer service will get back to you within 48 working hours to inform you of the next steps, including return instructions.","Notre service client reviendra vers vous dans les 48 heures ouvrées pour vous communiquer les prochaines étapes, dont les modalités de retour."
"Please note that return shipping costs are at your expense.","Veuillez noter que les frais de retour restent à votre charge."
"We hope to see you again soon on our website.","Nous espérons avoir le plaisir de vous retrouver prochainement sur notre boutique."
"Best regards,","Cordialement,"
"This product cannot be withdrawn (not eligible product).","Ce produit ne peut pas faire l'objet d'une rétractation (produit non éligible)."
"Need to cancel your order? You have 14 days to do so directly from your customer account, under the “Orders” tab, by clicking the “Cancel” button.","Besoin de vous rétracter ? Vous avez 14 jours pour le faire directement depuis votre espace client, dans l'onglet « Commandes », en cliquant sur le bouton « Se rétracter »"
"%company_name Team","L'équipe %company_name"
